id=69898, x=47.31, y=128.88 , dist = 0.1720465053408497, query id =1 
id=93787, x=36.87, y=119.32 , dist = 0.04472135955000279, query id =49 
id=47875, x=47.79, y=140.26 , dist = 0.1431782106327643, query id =50 
id=115148, x=54.52, y=87.87 , dist = 0.2220360331117442, query id =51 
id=9289, x=86.78, y=88.36 , dist = 0.1104536101718725, query id =52 
id=9091, x=41.67, y=146.2 , dist = 0.04999999999998295, query id =53 
id=78764, x=79.69, y=139.01 , dist = 0.07211102550927727, query id =54 
id=57848, x=81.93, y=156.54 , dist = 0.11401754250992725, query id =55 
id=139247, x=56.32, y=127.58 , dist = 0.05656854249491757, query id =56 
id=106645, x=6.53, y=142.49 , dist = 0.08602325267043238, query id =57 
id=121417, x=5.79, y=144.78 , dist = 0.06082762530298032, query id =58 
id=141910, x=20.8, y=146.75 , dist = 0.17204650534084226, query id =59 
id=50324, x=4.95, y=91.31 , dist = 0.05656854249492825, query id =60 
id=124665, x=3.37, y=111.26 , dist = 0.25238858928247954, query id =61 
id=55883, x=81.45, y=87.68 , dist = 0.10198039027186606, query id =62 
id=91617, x=73.09, y=142.88 , dist = 0.04123105625616668, query id =63 
id=109261, x=72.43, y=153.15 , dist = 0.10440306508910038, query id =64 
id=3048, x=2.73, y=148.1 , dist = 0.0565685424949182, query id =65 
id=89611, x=56.15, y=135.83 , dist = 0.2594224354214431, query id =66 
id=411, x=16.15, y=125.2 , dist = 0.10440306508909937, query id =67 
id=778, x=26.44, y=99.07 , dist = 0.09848857801796526, query id =68 
id=140487, x=20.64, y=125.0 , dist = 0.20615528128088598, query id =69 
id=149817, x=16.03, y=148.38 , dist = 0.18248287590894652, query id =70 
id=109260, x=84.58, y=89.74 , dist = 0.24698178070457377, query id =71 
id=114778, x=44.76, y=126.64 , dist = 0.06708203932499623, query id =72 
id=33120, x=27.36, y=135.28 , dist = 0.07810249675907557, query id =73 
id=142340, x=53.07, y=135.65 , dist = 0.08062257748297916, query id =74 
id=66753, x=87.22, y=157.14 , dist = 0.2780287754891657, query id =75 
id=10117, x=79.44, y=120.3 , dist = 0.1526433752247327, query id =76 
id=15337, x=26.75, y=95.08 , dist = 0.0984885780179577, query id =77 
id=49462, x=6.17, y=118.3 , dist = 0.10198039027185457, query id =83 
id=26753, x=21.35, y=142.13 , dist = 0.18867962264112995, query id =84 
id=56032, x=41.55, y=110.55 , dist = 0.050000000000005686, query id =85 
id=73974, x=54.94, y=127.63 , dist = 0.0707106781186658, query id =86 
id=71943, x=62.47, y=117.25 , dist = 0.08062257748298356, query id =87 
id=134902, x=55.59, y=125.93 , dist = 0.15524174696260734, query id =88 
id=83379, x=24.46, y=153.74 , dist = 0.12806248474864537, query id =89 
id=79449, x=35.8, y=136.42 , dist = 0.2451530134426072, query id =90 
id=96781, x=30.98, y=105.11 , dist = 0.12806248474865148, query id =91 
id=130153, x=75.83, y=136.72 , dist = 0.2499999999999858, query id =92 
id=82644, x=70.86, y=103.87 , dist = 0.14866068747318942, query id =93 
id=18962, x=38.35, y=81.83 , dist = 0.02236067977499345, query id =94 
id=91180, x=5.39, y=83.64 , dist = 0.18867962264112947, query id =95 
id=95593, x=4.59, y=158.55 , dist = 0.17720045146668145, query id =96 
id=15083, x=18.4, y=89.19 , dist = 0.09055385138137459, query id =97 
id=107695, x=51.08, y=146.08 , dist = 0.07615773105865939, query id =98 
id=103430, x=51.06, y=108.64 , dist = 0.09055385138137105, query id =99 
id=33273, x=48.65, y=91.59 , dist = 0.17464249196573128, query id =100 
id=93813, x=68.47, y=135.12 , dist = 0.18788294228057303, query id =101 
id=128791, x=67.41, y=134.64 , dist = 0.0799999999999983, query id =102 
id=69305, x=49.81, y=152.72 , dist = 0.11401754250991354, query id =103 
id=68747, x=34.61, y=97.82 , dist = 0.0799999999999983, query id =104 
id=11165, x=55.32, y=113.7 , dist = 0.06324555320336848, query id =105 
id=39364, x=17.23, y=142.03 , dist = 0.10440306508910038, query id =106 
id=143722, x=4.97, y=93.74 , dist = 0.09848857801796346, query id =107 
id=72544, x=4.57, y=106.74 , dist = 0.24596747752497558, query id =108 
id=21945, x=61.96, y=80.41 , dist = 0.08062257748298444, query id =109 
id=7000, x=30.59, y=126.67 , dist = 0.17029386365926016, query id =110 
id=122316, x=75.57, y=114.12 , dist = 0.16401219466856884, query id =111 
id=1145, x=32.67, y=149.98 , dist = 0.1902629759044021, query id =112 
id=80660, x=55.16, y=156.49 , dist = 0.09486832980504824, query id =113 
id=13093, x=22.25, y=93.62 , dist = 0.0806225774829818, query id =114 
id=98303, x=3.02, y=133.37 , dist = 0.10770329614268481, query id =115 
id=16387, x=25.6, y=113.76 , dist = 0.04123105625617702, query id =116 
id=19621, x=45.99, y=117.83 , dist = 0.05099019513593303, query id =117 
id=30007, x=7.73, y=151.28 , dist = 0.009999999999990905, query id =118 
id=19578, x=74.47, y=123.5 , dist = 0.16278820596100002, query id =119 
id=17215, x=33.87, y=84.83 , dist = 0.07615773105863326, query id =120 
id=55812, x=84.8, y=92.7 , dist = 0.13416407864999247, query id =121 
id=34291, x=44.65, y=157.67 , dist = 0.2158703314492325, query id =122 
id=70846, x=36.3, y=98.63 , dist = 0.13038404810404883, query id =123 
id=91090, x=55.2, y=137.38 , dist = 0.19723082923315266, query id =124 
id=130767, x=50.13, y=151.68 , dist = 0.11180339887498314, query id =125 
id=26306, x=35.61, y=137.04 , dist = 0.05099019513592328, query id =126 
id=53552, x=0.1, y=96.33 , dist = 0.05, query id =127 
id=127385, x=19.11, y=87.75 , dist = 0.1523154621172796, query id =128 
id=148587, x=32.87, y=93.76 , dist = 0.08246211251235058, query id =129 
id=87446, x=67.44, y=124.18 , dist = 0.07211102550928515, query id =130 
id=104634, x=53.03, y=97.29 , dist = 0.1063014581273454, query id =131 
id=77746, x=7.47, y=105.83 , dist = 0.1699999999999987, query id =132 
id=54360, x=23.08, y=117.65 , dist = 0.080622577482984, query id =133 
id=119836, x=20.69, y=97.49 , dist = 0.27294688127913286, query id =134 
id=35796, x=63.19, y=148.02 , dist = 0.161245154965968, query id =135 
id=110918, x=65.3, y=88.04 , dist = 0.09219544457292517, query id =136 
id=21738, x=11.21, y=87.39 , dist = 0.050000000000005686, query id =137 
id=124597, x=30.4, y=85.01 , dist = 0.0799999999999983, query id =138 
id=51813, x=69.9, y=112.03 , dist = 0.09433981132057515, query id =139 
id=24384, x=4.97, y=149.9 , dist = 0.1280624847486526, query id =140 
id=39009, x=70.97, y=137.09 , dist = 0.1486606874731703, query id =141 
id=47055, x=51.65, y=94.64 , dist = 0.04123105625618219, query id =142 
id=148670, x=55.17, y=128.75 , dist = 0.14142135623731153, query id =143 
id=139254, x=71.13, y=106.73 , dist = 0.13038404810404775, query id =144 
id=45577, x=23.47, y=142.23 , dist = 0.0761577310586398, query id =145 
id=95264, x=13.35, y=142.82 , dist = 0.07000000000000028, query id =146 
id=36199, x=16.84, y=131.82 , dist = 0.11313708498985775, query id =147 
id=125729, x=65.97, y=122.76 , dist = 0.03605551275464652, query id =148 
id=69841, x=59.14, y=119.99 , dist = 0.09486832980504824, query id =149 
id=112980, x=87.82, y=105.4 , dist = 0.24698178070456916, query id =150 
id=112509, x=2.06, y=156.95 , dist = 0.14035668847616836, query id =151 
id=12084, x=6.79, y=86.0 , dist = 0.1615549442140363, query id =152 
id=111624, x=26.73, y=155.93 , dist = 0.13152946437965962, query id =153 
id=83608, x=12.95, y=127.85 , dist = 0.18357559750685515, query id =154 
id=76849, x=10.89, y=122.87 , dist = 0.08062257748298621, query id =155 
id=93335, x=82.06, y=134.42 , dist = 0.26476404589746777, query id =156 
id=38678, x=76.03, y=119.75 , dist = 0.12165525060596823, query id =157 
id=100758, x=75.28, y=116.22 , dist = 0.050990195135926064, query id =158 
id=911, x=25.99, y=93.27 , dist = 0.24207436873820143, query id =159 
id=96266, x=79.09, y=125.85 , dist = 0.1711724276862398, query id =160 
id=132459, x=78.96, y=105.63 , dist = 0.16124515496597064, query id =161 
id=128663, x=30.75, y=110.76 , dist = 0.060827625302979436, query id =162 
id=57160, x=79.1, y=131.89 , dist = 0.030000000000001137, query id =163 
id=70694, x=80.08, y=80.58 , dist = 0.050990195135926064, query id =164 
id=28087, x=56.32, y=94.66 , dist = 0.028284271247471345, query id =165 
id=81355, x=4.7, y=92.1 , dist = 0.15556349186104027, query id =166 
id=88413, x=16.42, y=83.45 , dist = 0.1612451549659671, query id =167 
id=143779, x=59.78, y=146.14 , dist = 0.16552945357247634, query id =168 
id=14316, x=4.19, y=139.18 , dist = 0.06999999999999318, query id =169 
id=128192, x=65.21, y=116.6 , dist = 0.1, query id =170 
id=70668, x=87.14, y=129.01 , dist = 0.058309518948451156, query id =171 
id=36752, x=18.65, y=147.2 , dist = 0.05385164807133565, query id =172 
id=1643, x=32.55, y=123.77 , dist = 0.15811388300841314, query id =173 
id=18118, x=88.06, y=89.51 , dist = 0.12206555615732846, query id =174 
id=97478, x=27.54, y=149.31 , dist = 0.2692582403567249, query id =175 
id=22900, x=58.54, y=117.98 , dist = 0.07810249675906647, query id =176 
id=47681, x=80.73, y=153.85 , dist = 0.09055385138137811, query id =177 
id=58184, x=49.88, y=88.59 , dist = 0.2220360331117522, query id =178 
id=13143, x=27.19, y=111.32 , dist = 0.010000000000001563, query id =179 
id=118678, x=81.93, y=159.6 , dist = 0.050000000000005686, query id =180 
id=53985, x=45.43, y=125.9 , dist = 0.1941648783894875, query id =181 
id=121437, x=2.86, y=87.71 , dist = 0.12041594578791494, query id =182 
id=147221, x=17.37, y=114.02 , dist = 0.14035668847618243, query id =183 
id=83504, x=31.79, y=116.14 , dist = 0.06403124237432574, query id =184 
id=132434, x=30.78, y=100.19 , dist = 0.0640312423743213, query id =185 
id=139177, x=58.56, y=143.25 , dist = 0.08485281374238891, query id =186 
id=120664, x=35.72, y=156.85 , dist = 0.20396078054372796, query id =187 
id=140958, x=88.08, y=107.55 , dist = 0.06082762530298528, query id =188 
id=33437, x=36.81, y=134.62 , dist = 0.09486832980505497, query id =189 
id=37782, x=21.45, y=110.68 , dist = 0.16031219541881356, query id =190 
id=4236, x=33.82, y=92.75 , dist = 0.1835755975068569, query id =191 
id=95886, x=31.03, y=125.9 , dist = 0.12165525060596122, query id =192 
id=121946, x=34.38, y=102.97 , dist = 0.21189620100416462, query id =193 
id=78489, x=40.8, y=120.28 , dist = 0.21931712199460962, query id =194 
id=127735, x=66.89, y=83.45 , dist = 0.0799999999999983, query id =195 
id=113040, x=28.15, y=151.61 , dist = 0.1264911064067336, query id =196 
id=15774, x=29.58, y=82.75 , dist = 0.12041594578792437, query id =197 
id=42040, x=10.01, y=93.67 , dist = 0.17029386365926572, query id =198 
id=50824, x=16.51, y=152.72 , dist = 0.202484567313157, query id =199 
id=128803, x=42.12, y=137.17 , dist = 0.10630145812734072, query id =200 
Total running time: 256.32 seconds
Average time per query: 1.3144 seconds
