id=12540, x=47.5, y=128.77 for query 1
id=114778, x=44.76, y=126.64 for query 72
id=60476, x=27.04, y=135.27 for query 73
id=142340, x=53.07, y=135.65 for query 74
id=66753, x=87.22, y=157.14 for query 75
id=44489, x=80.1, y=119.84 for query 76
id=15337, x=26.75, y=95.08 for query 77
id=49462, x=6.17, y=118.3 for query 83
id=26753, x=21.35, y=142.13 for query 84
id=56032, x=41.55, y=110.55 for query 85
id=64971, x=54.21, y=127.48 for query 86
id=144764, x=62.49, y=116.93 for query 87
id=74026, x=55.5, y=125.71 for query 88
id=83379, x=24.46, y=153.74 for query 89
id=125015, x=35.9, y=136.46 for query 90
id=141769, x=31.31, y=105.12 for query 91
id=130153, x=75.83, y=136.72 for query 92
id=17239, x=70.97, y=103.64 for query 93
id=18962, x=38.35, y=81.83 for query 94
id=91180, x=5.39, y=83.64 for query 95
id=726, x=4.66, y=159.11 for query 96
id=15083, x=18.4, y=89.19 for query 97
id=2622, x=51.45, y=145.72 for query 98
id=32411, x=51.29, y=108.43 for query 99
id=113555, x=48.69, y=91.55 for query 100
id=18812, x=68.51, y=134.74 for query 101
id=6277, x=67.44, y=134.49 for query 102
id=69305, x=49.81, y=152.72 for query 103
id=68747, x=34.61, y=97.82 for query 104
id=50487, x=55.25, y=113.76 for query 105
id=136055, x=16.98, y=141.88 for query 106
id=143722, x=4.97, y=93.74 for query 107
id=72544, x=4.57, y=106.74 for query 108
id=124585, x=61.77, y=80.18 for query 109
id=7000, x=30.59, y=126.67 for query 110
id=37852, x=75.49, y=114.24 for query 111
id=141993, x=32.25, y=149.7 for query 112
id=59734, x=55.07, y=156.32 for query 113
id=13093, x=22.25, y=93.62 for query 114
id=98303, x=3.02, y=133.37 for query 115
id=107546, x=25.74, y=113.56 for query 116
id=19621, x=45.99, y=117.83 for query 117
id=30007, x=7.73, y=151.28 for query 118
id=19578, x=74.47, y=123.5 for query 119
id=7577, x=34.0, y=84.48 for query 120
id=33256, x=84.98, y=93.08 for query 121
id=34291, x=44.65, y=157.67 for query 122
id=1131, x=36.17, y=98.17 for query 123
id=6316, x=56.6, y=137.65 for query 124
id=130767, x=50.13, y=151.68 for query 125
id=66870, x=35.59, y=137.08 for query 126
id=53552, x=0.1, y=96.33 for query 127
id=127385, x=19.11, y=87.75 for query 128
id=12137, x=32.79, y=93.78 for query 129
id=11611, x=67.18, y=124.34 for query 130
id=104634, x=53.03, y=97.29 for query 131
id=32749, x=7.31, y=105.62 for query 132
id=42278, x=23.22, y=117.48 for query 133
id=20081, x=20.31, y=97.96 for query 134
id=35796, x=63.19, y=148.02 for query 135
id=110918, x=65.3, y=88.04 for query 136
id=21738, x=11.21, y=87.39 for query 137
id=124597, x=30.4, y=85.01 for query 138
id=51813, x=69.9, y=112.03 for query 139
id=24384, x=4.97, y=149.9 for query 140
id=39009, x=70.97, y=137.09 for query 141
id=47055, x=51.65, y=94.64 for query 142
id=5067, x=55.15, y=128.9 for query 143
id=5442, x=70.68, y=107.17 for query 144
id=45577, x=23.47, y=142.23 for query 145
id=95264, x=13.35, y=142.82 for query 146
id=64624, x=16.98, y=132.02 for query 147
id=138165, x=65.93, y=122.77 for query 148
id=69841, x=59.14, y=119.99 for query 149
id=92701, x=88.28, y=105.81 for query 150
id=112509, x=2.06, y=156.95 for query 151
id=12084, x=6.79, y=86.0 for query 152
id=1995, x=26.99, y=157.39 for query 153
id=83608, x=12.95, y=127.85 for query 154
id=76849, x=10.89, y=122.87 for query 155
id=93335, x=82.06, y=134.42 for query 156
id=68899, x=76.26, y=119.65 for query 157
id=40359, x=75.61, y=116.19 for query 158
id=132053, x=26.09, y=92.82 for query 159
id=37714, x=78.98, y=125.67 for query 160
id=122090, x=79.31, y=106.27 for query 161
id=66450, x=30.46, y=111.19 for query 162
id=57160, x=79.1, y=131.89 for query 163
id=70694, x=80.08, y=80.58 for query 164
id=28087, x=56.32, y=94.66 for query 165
id=81355, x=4.7, y=92.1 for query 166
id=88413, x=16.42, y=83.45 for query 167
id=143779, x=59.78, y=146.14 for query 168
id=14316, x=4.19, y=139.18 for query 169
id=32626, x=64.83, y=116.56 for query 170
id=70668, x=87.14, y=129.01 for query 171
id=55838, x=18.57, y=147.11 for query 172
id=1643, x=32.55, y=123.77 for query 173
id=18118, x=88.06, y=89.51 for query 174
id=138910, x=28.25, y=149.16 for query 175
id=22900, x=58.54, y=117.98 for query 176
id=6229, x=80.7, y=153.54 for query 177
id=102142, x=49.77, y=88.17 for query 178
id=13143, x=27.19, y=111.32 for query 179
id=118678, x=81.93, y=159.6 for query 180
id=53985, x=45.43, y=125.9 for query 181
id=121437, x=2.86, y=87.71 for query 182
id=147221, x=17.37, y=114.02 for query 183
id=83504, x=31.79, y=116.14 for query 184
id=122468, x=30.99, y=100.21 for query 185
id=18979, x=58.64, y=142.7 for query 186
id=20580, x=36.21, y=157.02 for query 187
id=11083, x=88.16, y=107.49 for query 188
id=33437, x=36.81, y=134.62 for query 189
id=37782, x=21.45, y=110.68 for query 190
id=39031, x=33.75, y=92.38 for query 191
id=146769, x=31.08, y=125.8 for query 192
id=24641, x=34.91, y=103.03 for query 193
id=78489, x=40.8, y=120.28 for query 194
id=127735, x=66.89, y=83.45 for query 195
id=113040, x=28.15, y=151.61 for query 196
id=15774, x=29.58, y=82.75 for query 197
id=42040, x=10.01, y=93.67 for query 198
id=139449, x=16.8, y=154.0 for query 199
id=48512, x=41.91, y=137.16 for query 200
Total running time: 0.04 seconds
Average time per query: 0.0002 seconds
